ImageID,Label
1020,7
1006,1
1080,7
1043,2
1044,4
1039,1
1007,2
1026,1
1063,7
1068,1
1091,4
1030,3
1035,1
1027,7
1092,2
1033,1
1014,7
1087,2
1095,3
1094,2
1084,4
1012,2
1076,7
1066,7
1016,1
1079,7
1042,7
1062,4
1041,7
1061,7
1017,2
1001,1
1037,7
1036,1
1045,7
1055,1
1060,4
1064,2
1090,7
1046,2
1010,6
1004,3
1028,7
1025,4
1072,4
1049,3
1056,2
1075,3
1058,1
1054,7
1022,7
1073,6
1088,4
1081,5
1082,2
1059,7
1047,6
1032,7
1005,1
1078,6
1038,7
1040,7
1015,7
1031,2
1029,6
1067,1
1023,4
1013,5
1093,6
1011,7
1071,7
1024,7
1083,2
1065,7
1052,7
1034,6
1057,5
1050,6
1018,6
1077,2
1008,7
1003,7
1048,1
1085,6
1069,5
1089,3
1074,1
1070,7
1086,2
1002,7
1051,6
1021,7
1009,7
1053,3
1019,4
